eGFP (uM),Biotek 4,Biotek 1,Biotek 4,Biotek 1
17.24,95369.44445,27625.91667,95387.77778,27625.91667
11.49,63370.75,17590.41667,63389.08333,17590.41667
7.66,46401.5,13553.33333,46419.83333,13553.33333
5.11,27221,7620.083333,27239.33333,7620.083333
3.41,17450,5013.583333,17468.33333,5013.583333
2.27,10066.66667,2748.75,10085,2748.75
1.51,6693,1829.916667,6711.333333,1829.916667
1.01,3252.333334,875.25,3270.666667,875.25
0.67,2258.25,603.75,2276.583333,603.75
0.45,909,215.6666667,927.3333333,215.6666667
0.3,438.75,91.41666667,457.0833333,91.41666667
0.2,267.9166667,45.91666667,286.25,45.91666667
0.13,106.6666667,19.66666667,125,19.66666667
0.09,43.91666667,9.416666667,62.25,9.416666667
0,0,0,18.33333333,0
