

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Projects\Organelles\PURExpress_frex_systems\2024.01.26_PURExpress_DNAconcs_v2\2024.01.26_PURExp_DNA_concs_Biotek4_v2.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Biotek\Protocols\deGFP_MGapt_384.prt



Plate Number	Plate 1
Date	1/26/2024
Time	5:15:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:03:00, 241 Reads
    Read	mGapt
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 135
	Filter Set 2
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 150
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
    Read	deGFP
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1	SPL4	SPL7	SPL10	SPL13	SPL16	SPL19																	Well ID
C		SPL2	SPL5	SPL8	SPL11	SPL14	SPL17	SPL20																	Well ID
D		SPL3	SPL6	SPL9	SPL12	SPL15	SPL18	SPL21																	Well ID
E																									Well ID
F		SPL1	SPL4	SPL7	SPL10		SPL25	SPL28	SPL31	SPL34															Well ID
G		SPL2	SPL5	SPL8	SPL11		SPL26	SPL29	SPL32	SPL35															Well ID
H		SPL3	SPL6	SPL9	SPL12		SPL27	SPL30	SPL33	SPL36															Well ID
I		SPL1	SPL2																						Well ID
J		SPL13	SPL16	SPL19	SPL22		SPL37	SPL40	SPL43	SPL46															Well ID
K		SPL14	SPL17	SPL20	SPL23		SPL38	SPL41	SPL44	SPL47															Well ID
L		SPL15	SPL18	SPL21	SPL24		SPL39	SPL42	SPL45	SPL48															Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

mGapt:610,650

Time	T° mGapt:610,650	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
0:00:00	37.0	263	154	80	56	152	68	28	243	186	125	91	100	133	6	340	219	297	126	252	58	17																																																		
0:03:00	37.0	520	348	177	97	143	90	15	431	323	146	145	175	133	31	507	355	249	126	232	109	27																																																		
0:06:00	37.0	701	369	181	125	114	43	21	471	424	350	126	58	75	37	573	418	456	96	148	67	27																																																		
0:09:00	37.0	717	446	330	159	124	84	24	457	500	312	167	157	52	0	670	494	501	154	256	90	39																																																		
0:12:00	37.0	836	507	276	185	118	67	46	496	541	231	95	82	80	11	671	575	359	193	191	76	6																																																		
0:15:00	37.0	970	625	362	207	196	62	0	684	579	223	273	179	71	19	812	502	628	220	293	66	33																																																		
0:18:00	37.1	1211	626	312	208	93	54	39	857	541	381	157	97	65	5	1114	686	565	211	215	126	32																																																		
0:21:00	37.0	1372	919	353	234	289	83	17	897	720	353	246	179	80	12	1279	702	553	198	286	62	24																																																		
0:24:00	37.0	1322	955	485	312	205	115	29	1214	953	483	296	123	125	25	1214	881	678	341	301	24	37																																																		
0:27:00	37.0	1609	1039	576	291	187	79	33	1378	1050	433	294	109	85	12	1380	924	750	315	263	49	32																																																		
0:30:00	37.0	1692	1315	558	280	182	193	2	1359	1067	501	375	234	145	21	1643	1122	752	401	289	178	2																																																		
0:33:00	37.0	1855	1216	715	422	197	156	7	1668	1063	571	324	243	107	56	1845	1254	814	294	259	149	13																																																		
0:36:00	37.0	2064	1315	676	538	212	122	39	1796	1149	654	430	153	124	31	2208	1269	989	554	255	145	2																																																		
0:39:00	37.0	2507	1555	740	506	153	130	19	1893	1187	770	448	214	135	27	1961	1334	1105	500	440	170	15																																																		
0:42:00	37.0	2513	1661	908	447	180	198	0	2016	1342	989	591	248	129	38	2085	1752	1122	508	430	182	1																																																		
0:45:00	37.0	2658	1749	899	583	258	157	5	2101	1471	729	454	268	149	6	2297	1560	1102	515	391	159	18																																																		
0:48:00	37.0	2502	1738	959	554	252	222	3	2177	1698	912	549	394	230	2	2393	1652	1223	574	360	153	17																																																		
0:51:00	37.0	2781	1727	1023	577	348	245	12	2177	1581	872	490	351	182	21	2605	1770	1320	577	438	138	23																																																		
0:54:00	37.0	2755	1884	966	731	211	214	25	2197	1736	847	483	345	211	27	2537	1711	1177	575	538	122	4																																																		
0:57:00	37.0	2681	1868	1050	523	315	211	9	2390	1768	786	694	438	273	15	2434	1895	1299	605	618	101	12																																																		
1:00:00	37.0	2801	1964	1032	681	480	236	15	2330	1765	849	553	409	254	49	2368	1962	1180	662	351	203	17																																																		
1:03:00	37.0	2966	2022	1127	770	380	276	37	2521	1747	1211	633	471	235	39	2658	1871	1182	579	590	234	41																																																		
1:06:00	37.0	3132	1888	834	709	345	261	0	2453	1946	1035	719	416	220	23	2829	1856	1092	737	471	271	13																																																		
1:09:00	37.0	2949	2073	1074	592	448	263	33	2613	2045	869	654	384	309	4	3115	2066	1199	768	517	299	6																																																		
1:12:00	37.0	3220	1812	1294	808	521	199	10	2725	2262	1234	608	386	248	30	3206	2095	1319	632	566	250	29																																																		
1:15:00	37.0	3289	2157	1145	882	390	300	45	2857	2060	1097	646	531	265	18	3159	1971	1522	709	601	308	36																																																		
1:18:00	37.0	3858	2229	1284	930	511	281	10	2967	2085	1215	728	531	282	28	3047	2325	1546	823	535	322	18																																																		
1:21:00	37.0	3455	2272	1233	891	612	207	6	2887	2302	1341	758	454	360	13	3445	2232	1442	775	681	236	16																																																		
1:24:00	37.0	3854	2350	1364	923	472	253	35	2997	2267	1323	947	580	230	25	3178	2286	1685	853	571	259	18																																																		
1:27:00	37.0	3912	2885	1202	924	608	320	0	3096	2581	1468	727	520	319	18	3511	2543	1446	878	555	240	0																																																		
1:30:00	37.0	4028	2669	1418	1095	551	404	10	3313	2471	1373	729	730	290	0	3862	2604	1558	844	588	325	33																																																		
1:33:00	37.0	4315	2594	1536	914	670	310	9	3196	2697	1466	1048	560	278	30	3662	2825	1812	967	561	357	27																																																		
1:36:00	37.0	4224	2895	1350	1036	668	335	4	3487	2423	1685	861	575	425	27	4025	2660	1614	921	735	309	1																																																		
1:39:00	37.0	4296	2837	1670	1122	697	427	29	3460	3046	1728	1151	524	427	53	3934	2743	1856	972	630	278	60																																																		
1:42:00	37.0	4206	3148	1633	1187	654	245	19	3613	2960	1649	1137	641	280	9	4162	2929	1770	909	718	315	21																																																		
1:45:00	37.0	4796	2785	1609	1213	539	361	18	4210	3000	1887	940	696	463	1	4504	3214	1767	1138	743	309	16																																																		
1:48:00	37.0	4926	3232	1721	1234	603	350	36	4005	3135	1771	1144	611	472	20	4750	3004	1960	1200	736	385	15																																																		
1:51:00	37.0	5400	3316	1888	1097	788	370	7	4468	3422	2013	1173	574	390	19	4794	3402	2024	1227	877	335	25																																																		
