timepoints,deGFP1,deGFP2,deGFP3
6,32,32,34
186,29,36,34
366,42,44,53
546,118,113,120
726,288,272,281
906,613,587,582
1086,1097,1026,1075
1266,1829,1698,1717
1446,2649,2515,2487
1626,3692,3416,3425
1806,4852,4505,4495
1986,6057,5716,5621
2166,7422,6804,6822
2346,8654,8196,8098
2526,9993,9434,9387
2706,11472,10821,10750
2886,12888,12218,12058
3066,14414,13493,13359
3246,15929,14946,14883
3426,17058,16010,16029
3606,18611,17397,17323
3786,19965,18742,18449
3966,21274,20155,19817
4146,22280,21222,21147
4326,23892,22415,22174
4506,25092,23592,23534
4686,26082,24730,24090
4866,27370,25614,25599
5046,28468,26702,26265
5226,29496,27565,27623
5406,30413,28777,28458
5586,31150,29394,29329
5766,32109,29922,29906
5946,32393,30736,30409
6126,33369,31396,31008
6306,33891,31504,31389
6486,34059,32056,32351
6666,34777,32689,32334
6846,34950,32686,32365
7026,35367,33365,32982
7206,35554,33174,33324
7386,35398,33432,33219
7566,35581,33181,33172
7746,35569,33702,33512
7926,36149,33261,33499
8106,35866,33854,33161
8286,35750,33560,33447
8466,35755,33997,33589
8646,35541,33916,33630
8826,35483,33816,33540
9006,35947,33778,33650
9186,35663,33645,33206
9366,35961,33384,33813
9546,35692,34022,33980
9726,35182,33762,33570
9906,35832,33845,33545
10086,36288,33771,33516
10266,36016,33810,33563
10446,35653,33118,33640
10626,35457,33253,33544
10806,35969,33487,33899
10986,35565,33392,33901
11166,35746,33411,33533
11346,35614,33562,33301
11526,35514,33115,33493
11706,35555,33171,33639
11886,35349,33575,33376
12066,35414,33371,33426
12246,35392,33273,33357
12426,35432,33364,33377
12606,35039,33184,33231
12786,35623,33437,32992
12966,35694,33546,33158
13146,35241,33350,33276
13326,35580,33628,33236
13506,35681,33397,33345
13686,35218,33325,33169
13866,35624,32954,33667
14046,35324,33175,32949
14226,35183,33335,33651
14406,35537,33914,33417
14586,35458,33146,33244
14766,35219,33494,33120
14946,35509,33653,33298
15126,35982,32841,33208
15306,35615,33402,32980
15486,35356,33469,33150
15666,35921,33222,33413
15846,35725,33473,33274
16026,35447,33566,33348
16206,35698,33799,33283
16386,35546,33644,32792
16566,35501,33335,32862
16746,35320,33618,33156
16926,35562,33287,32834
17106,35657,33262,33306
17286,35346,32858,33099
17466,35695,33122,32550
17646,35521,33635,32916
17826,35619,33566,32896
18006,35278,33369,33193
18186,35264,33413,33196
18366,35510,33268,32721
18546,35415,33172,33236
18726,35392,33211,32951
18906,35357,33327,32855
19086,35017,33105,32737
19266,35535,33167,32887
19446,35766,33498,32672
19626,35103,33700,32777
19806,35455,33298,32772
19986,35419,33145,32627
20166,35200,32660,32826
20346,35171,33145,32482
20526,34780,32887,32540
20706,35168,33239,32881
20886,34970,32932,32891
21066,34732,33372,32488
21246,34998,33126,32820
21426,35222,32862,32700
21606,35094,33167,32978
21786,34933,32850,32787
21966,35136,32763,32815
22146,34899,32827,33002
22326,34846,32878,32491
22506,34614,32868,32552
22686,34818,32939,32905
22866,34375,32712,32038
23046,35068,32403,32324
23226,34872,32889,32643
23406,34928,32615,32468
23586,34912,33024,32595
