timepoints,mRNA0,mRNA1,mRNA2
6,1085,982,1371
186,2180,2058,1965
366,2669,2639,2619
546,3467,3363,2722
726,2940,3445,3572
906,3955,3771,4069
1086,4444,4387,4351
1266,4699,5115,4614
1446,4842,4890,5061
1626,5736,5572,5476
1806,6767,5863,5943
1986,6163,6478,6199
2166,6543,7803,6807
2346,7067,7416,7591
2526,7917,8115,7727
2706,8648,8264,7880
2886,7976,8959,8456
3066,8541,9510,8917
3246,9439,9755,9943
3426,10432,10151,9553
3606,9603,10764,9988
3786,10206,10904,10564
3966,10863,11751,10620
4146,11879,12534,11311
4326,11913,11543,11817
4506,11745,12570,11411
4686,13531,13220,13088
4866,12989,13465,12295
5046,13439,13237,12955
5226,13152,12654,12976
5406,14579,13561,13064
5586,14909,14400,13892
5766,12864,15030,14639
5946,15033,13743,14888
6126,15102,15875,14934
6306,16031,14897,15339
6486,14562,16639,15019
6666,16660,16381,14892
6846,16632,17471,16017
7026,15794,17520,15699
7206,16738,16813,15672
7386,16734,17816,17334
7566,17290,18030,16284
7746,17449,17457,17365
7926,17760,17677,17844
8106,18381,19021,16177
8286,17880,18033,17680
8466,18516,18803,16821
8646,19396,19410,18127
8826,18820,19055,18954
9006,17460,19900,19115
9186,20199,18708,19796
9366,19238,19920,20105
9546,19793,21481,19463
9726,21142,20918,20501
9906,20308,21109,21070
10086,20768,20821,21959
10266,20574,21684,20888
10446,20753,21412,20813
10626,21097,22359,20423
10806,22234,22018,21985
10986,22582,22474,22462
11166,22380,22935,23481
11346,22625,24103,22800
11526,24017,23051,22325
11706,22611,23597,22843
11886,22546,22952,23536
12066,23780,22847,23346
12246,24028,24124,23281
12426,23696,25399,24883
12606,23699,24847,24594
12786,24115,24882,25298
12966,25117,25885,24568
13146,23538,26145,23975
13326,24454,25366,24941
13506,25033,24829,26455
13686,26870,25956,25970
13866,25225,25186,25056
14046,24212,28144,26494
14226,26385,27892,26687
14406,25429,27195,26691
14586,26704,28787,27989
14766,27069,28924,25442
14946,28823,27886,28360
15126,29361,29460,27052
15306,27683,28173,27811
15486,28641,29907,26708
15666,29345,28231,29011
15846,30773,30393,29376
16026,29127,29753,29495
16206,30096,31565,30363
16386,31675,31418,31244
16566,31456,31821,31469
16746,31367,31383,33074
16926,32986,33423,32520
17106,33742,33866,34319
17286,33083,34735,34215
