Ala,300
AlaRS,3
Arg,300
ArgRS,0.12
Asn,300
AsnRS,1.7
Asp,300
AspRS,0.49
ATP,3750
CK,1
CP,10000
CTP,1250
Cys,300
CysRS,0.1
DNA,0
EFG,4.3
EFTs,13
EFTu,80
FD,126.8498943
Gln,300
GlnRS,0.24
Glu,300
GluRS,0.9
Gly,300
GlyRS,0.35
GTP,2500
His,300
HisRS,0.34
IF1,99
IF2,4.1
IF3,4.9
Ile,300
IleRS,1.5
Leu,300
LeuRS,0.16
Lys,300
LysRS,0.46
Met,300
MetRS,0.44
MK,5.6
mRNA_i,0
MTF,2.4
NDK,0.06
Phe,300
PheRS,0.54
PPiase,0.16
Pro,300
ProRS,0.67
RF1,0.2
RF2,0.2
RF3,0.7
RRF,16
RS70S,3
Ser,300
SerRS,0.16
T7RNAP,1
Thr,300
ThrRS,0.34
tRNAAlaAGU,3.54767184
tRNAArgCCG,3.54767184
tRNAAsnAUU,3.54767184
tRNAAspAUC,3.54767184
tRNACysACA,3.54767184
tRNAfMetCAU,3.54767184
tRNAGlnUUG,3.54767184
tRNAGluUUC,3.54767184
tRNAGlyGCC,3.54767184
tRNAHisAUG,3.54767184
tRNAIleAAU,3.54767184
tRNALeuCAG,3.54767184
tRNALysCUU,3.54767184
tRNAMetCAU,3.54767184
tRNAPheGAA,3.54767184
tRNAProAGG,3.54767184
tRNASerGCU,3.54767184
tRNAThrAGU,3.54767184
tRNATrpCCA,3.54767184
tRNATyrAUA,3.54767184
tRNAValCAC,3.54767184
Trp,300
TrpRS,0.11
Tyr,300
TyrRS,0.03
UTP,1250
Val,300
ValRS,0.07
