timepoints,deGFP1,deGFP2,deGFP3,deGFP0
6,29,31,30,30
186,25,32,32,28
366,32,38,26,29
546,28,29,30,22
726,29,31,28,30
906,29,30,28,31
1086,30,32,31,25
1266,22,32,28,30
1446,26,31,29,27
1626,30,33,24,24
1806,28,29,32,29
1986,30,25,25,27
2166,33,32,29,26
2346,27,29,30,27
2526,28,33,23,29
2706,30,35,28,29
2886,31,31,27,25
3066,33,28,28,30
3246,30,28,21,29
3426,33,32,26,38
3606,33,22,23,34
3786,26,27,35,21
3966,27,33,33,33
4146,33,22,23,25
4326,27,31,29,22
4506,29,30,33,29
4686,31,27,33,28
4866,30,23,32,22
5046,30,32,22,30
5226,31,26,35,21
5406,31,31,29,27
5586,38,28,31,32
5766,33,29,29,34
5946,32,32,31,25
6126,31,33,28,28
6306,36,32,28,32
6486,27,32,34,37
6666,29,33,29,31
6846,29,31,27,32
7026,31,27,29,27
7206,32,30,34,32
7386,27,34,29,26
7566,32,28,38,26
7746,31,34,36,31
7926,32,31,31,24
8106,37,31,36,28
8286,40,37,26,31
8466,36,34,36,34
8646,29,34,34,29
8826,33,30,34,31
9006,32,31,30,38
9186,39,36,32,26
9366,36,33,30,33
9546,36,32,25,34
9726,37,27,28,34
9906,34,32,33,31
10086,39,35,28,31
10266,39,33,27,31
10446,35,33,29,35
10626,38,35,33,30
10806,35,35,39,28
10986,33,31,30,36
11166,34,36,34,32
11346,36,28,33,36
11526,33,37,27,37
11706,33,42,34,32
11886,33,32,34,32
12066,34,35,36,30
12246,29,32,39,34
12426,32,34,32,31
12606,34,35,34,25
12786,38,40,32,32
12966,33,31,34,30
13146,32,31,34,33
13326,41,33,37,35
13506,35,35,40,37
13686,28,36,35,27
13866,27,27,32,30
14046,32,31,29,30
14226,37,36,33,40
14406,41,32,36,32
14586,33,36,37,30
14766,31,35,34,30
14946,38,32,41,35
15126,34,37,32,42
15306,34,36,35,30
15486,32,39,39,38
15666,35,38,33,30
15846,40,35,35,29
16026,37,37,38,36
16206,38,41,28,34
16386,37,31,41,33
16566,29,32,32,39
16746,40,33,36,35
16926,38,40,37,31
17106,42,35,39,40
17286,34,34,36,31
17466,39,26,37,33
17646,36,32,36,32
17826,37,37,37,33
18006,40,37,31,32
18186,34,34,38,38
18366,35,35,31,33
18546,39,36,36,41
18726,38,28,42,35
18906,38,36,40,32
19086,34,38,37,36
19266,39,46,39,39
19446,32,36,37,40
19626,37,40,42,39
19806,36,38,42,37
19986,39,35,37,33
20166,38,41,36,34
20346,32,30,39,43
20526,34,38,34,40
20706,41,40,39,41
20886,34,42,37,36
21066,40,40,41,40
21246,37,42,43,44
21426,43,40,31,45
21606,40,40,45,46
21786,45,41,39,37
21966,42,40,44,47
22146,41,38,51,38
22326,39,42,44,39
22506,38,35,46,36
22686,43,42,36,44
22866,42,38,43,34
23046,37,43,38,49
23226,41,38,48,45
23406,42,37,38,50
23586,39,41,39,46
23766,39,40,46,43
23946,41,43,45,46
24126,44,44,48,45
24306,42,42,41,43
24486,45,43,43,37
24666,44,41,43,40
24846,38,44,44,43
25026,45,38,43,52
25206,42,44,44,34
25386,46,41,40,48
25566,41,47,46,49
25746,42,38,43,48
25926,41,42,46,41
26106,47,37,41,47
26286,49,47,42,45
26466,45,41,46,49
26646,39,43,48,44
26826,47,46,47,40
27006,43,45,42,49
27186,49,41,44,40
27366,44,46,43,44
27546,45,48,41,51
27726,44,44,43,41
27906,49,46,48,39
28086,43,46,43,42
28266,47,44,43,44
28446,35,48,43,44
28626,47,42,43,51
28806,46,45,54,47
28986,45,46,52,47
29166,42,46,47,45
29346,41,46,47,41
29526,43,46,48,49
29706,46,48,50,46
29886,41,54,49,47
30066,52,42,55,53
30246,45,40,44,49
30426,54,44,51,46
30606,47,45,45,52
30786,51,50,53,47
30966,45,49,51,47
31146,44,42,42,54
31326,51,51,45,47
31506,53,47,47,49
31686,48,46,53,43
31866,54,45,48,38
32046,49,50,53,50
32226,47,43,48,52
32406,58,46,46,44
32586,50,51,49,53
32766,51,49,46,43
32946,45,52,49,43
33126,50,49,42,46
33306,48,46,47,47
33486,48,37,48,44
33666,49,49,53,50
33846,43,53,59,53
34026,48,49,53,42
34206,52,50,56,48
34386,47,48,58,52
34566,49,50,47,58
34746,45,50,55,50
34926,52,47,47,51
35106,42,52,52,45
35286,54,44,49,45
35466,52,46,59,48
35646,48,52,54,52
35826,52,52,46,49
36006,50,45,50,41
36186,48,52,46,53
36366,50,46,46,50
36546,49,49,50,52
36726,52,57,49,44
36906,48,41,49,49
37086,51,46,46,50
37266,53,52,51,45
37446,49,54,50,54
37626,43,51,54,49
37806,50,49,49,54
37986,49,49,49,52
38166,52,45,56,51
38346,45,52,49,51
38526,48,54,52,50
38706,55,55,49,59
38886,52,49,48,49
39066,46,50,58,50
39246,56,54,47,52
39426,54,48,49,46
39606,50,52,50,50
39786,45,45,59,49
39966,52,54,55,45
40146,45,39,51,45
40326,48,53,51,47
40506,43,50,48,51
40686,52,53,53,50
40866,46,45,51,45
41046,55,47,44,46
41226,48,60,49,50
41406,55,60,49,52
41586,47,45,51,53
41766,48,51,53,48
41946,52,58,58,55
42126,48,53,50,52
42306,49,51,57,53
42486,50,50,55,48
42666,55,48,58,50
42846,58,51,52,56
43026,50,54,48,53
43206,52,43,61,50
