timepoints,mRNA0,mRNA1,mRNA2,mRNA3
6,249,171,140,225
186,173,279,238,149
366,138,212,256,165
546,188,221,247,183
726,143,128,76,319
906,209,115,171,178
1086,211,198,110,132
1266,165,220,332,335
1446,207,109,83,182
1626,110,164,170,176
1806,122,252,104,233
1986,161,105,121,294
2166,58,145,183,157
2346,244,141,177,240
2526,224,138,154,336
2706,114,127,79,113
2886,99,18,124,161
3066,105,170,95,196
3246,154,157,187,205
3426,281,245,244,212
3606,44,142,187,295
3786,190,158,190,156
3966,205,117,198,231
4146,92,142,134,131
4326,132,183,162,188
4506,142,131,132,206
4686,203,156,75,155
4866,177,237,165,319
5046,226,211,145,159
5226,73,212,184,249
5406,174,259,212,59
5586,81,181,245,163
5766,104,88,80,178
5946,66,138,100,129
6126,182,165,111,107
6306,263,115,177,165
6486,266,79,63,127
6666,50,171,63,91
6846,296,164,226,197
7026,113,87,247,134
7206,61,162,83,252
7386,202,59,182,92
7566,164,64,185,295
7746,322,127,108,175
7926,113,79,143,155
8106,95,132,240,137
8286,206,113,104,127
8466,115,252,183,197
8646,122,158,156,159
8826,76,104,198,165
9006,165,136,133,275
9186,108,140,146,348
9366,195,211,113,195
9546,160,132,306,145
9726,98,79,153,318
9906,127,199,181,213
10086,119,286,134,135
10266,106,174,171,279
10446,157,57,75,175
10626,125,88,301,289
10806,98,168,221,287
10986,186,236,190,318
11166,159,117,143,237
11346,198,175,107,90
11526,142,226,171,160
11706,99,132,162,253
11886,85,148,199,248
12066,99,123,115,319
12246,86,202,110,303
12426,217,150,212,246
12606,197,215,334,110
12786,269,172,80,147
12966,48,84,208,195
13146,174,257,279,87
13326,229,168,221,198
13506,142,79,204,224
13686,132,198,296,252
13866,224,122,99,248
14046,132,171,177,355
14226,223,61,164,309
14406,187,172,166,269
14586,212,195,252,256
14766,67,141,212,192
14946,234,200,284,464
15126,138,124,366,258
15306,142,239,206,214
15486,157,97,226,297
15666,163,196,183,326
15846,303,106,141,317
16026,187,172,201,232
16206,164,106,331,255
16386,185,140,346,290
16566,194,156,446,268
16746,328,237,358,363
16926,229,284,289,538
17106,210,230,385,253
17286,207,124,340,420
17466,154,75,349,411
17646,247,65,256,328
17826,298,157,371,236
18006,305,292,375,348
18186,340,221,503,604
18366,277,170,246,385
18546,252,309,459,377
18726,285,328,300,356
18906,456,287,456,469
19086,218,346,627,848
19266,263,291,478,577
19446,245,328,410,357
19626,405,351,427,397
19806,227,331,429,585
19986,199,268,426,550
20166,286,312,507,600
20346,370,311,427,399
20526,325,350,431,502
20706,311,276,583,443
20886,270,307,673,428
21066,361,331,416,487
21246,349,233,467,434
21426,417,355,407,419
21606,293,304,396,395
21786,230,273,387,484
21966,177,225,553,383
22146,451,387,403,491
22326,546,334,353,666
22506,556,383,575,541
22686,427,447,465,336
22866,634,478,620,345
23046,392,425,457,438
23226,448,303,631,707
23406,461,345,579,620
23586,313,283,553,451
23766,445,332,513,526
23946,356,378,447,576
24126,437,399,575,527
24306,288,313,828,556
24486,491,369,586,607
24666,425,401,513,514
24846,266,395,446,783
25026,549,327,519,777
25206,448,376,365,698
25386,425,360,625,541
25566,555,318,512,786
25746,438,408,644,756
25926,439,384,508,517
26106,421,289,511,658
26286,525,545,651,826
26466,354,463,602,662
26646,626,399,614,616
26826,654,426,693,495
27006,387,392,634,541
27186,541,441,516,843
27366,447,443,631,674
27546,404,315,577,890
27726,496,500,692,661
27906,475,407,828,609
28086,569,340,924,720
28266,589,429,836,746
28446,491,427,773,697
28626,384,377,602,712
28806,376,421,765,601
28986,541,419,894,679
29166,388,457,694,682
29346,584,414,652,563
29526,420,331,679,773
29706,581,558,631,690
29886,670,384,752,655
30066,869,429,617,735
30246,485,469,989,829
30426,518,305,705,592
30606,362,455,691,916
30786,552,640,738,783
30966,590,357,641,690
31146,639,538,873,741
31326,520,410,849,686
31506,430,405,654,932
31686,638,420,587,777
31866,705,494,817,840
32046,516,428,814,954
32226,481,561,828,940
32406,531,375,832,816
32586,654,511,847,752
32766,501,400,803,804
32946,706,459,935,915
33126,653,384,687,913
33306,554,579,875,1043
33486,593,379,746,640
33666,823,664,945,805
33846,737,434,669,853
34026,664,626,750,849
34206,840,558,923,729
34386,453,600,603,632
34566,494,487,741,1084
34746,496,471,789,840
34926,582,514,753,707
35106,522,426,755,840
35286,793,520,687,1000
35466,455,485,873,754
35646,556,429,941,798
35826,729,424,815,949
36006,595,562,719,1017
36186,536,665,905,542
36366,723,572,1032,1079
36546,741,585,827,869
36726,641,603,927,1072
36906,647,482,679,955
37086,731,492,816,918
37266,561,631,828,844
37446,663,555,774,880
37626,874,331,1011,685
37806,625,669,833,1048
37986,692,577,910,887
38166,735,502,827,861
38346,544,409,1072,670
38526,611,477,994,688
38706,667,605,792,1066
38886,773,776,945,1071
39066,508,460,1020,1032
39246,536,415,891,991
39426,546,660,967,979
39606,777,488,778,841
39786,710,611,873,685
39966,455,801,700,864
40146,713,631,843,999
40326,610,375,924,917
40506,912,442,735,978
40686,614,654,950,1053
40866,657,614,873,923
41046,646,626,982,1063
41226,762,453,1085,1047
41406,526,730,812,1142
41586,786,887,880,830
41766,897,629,1155,934
41946,675,641,1114,954
42126,955,774,1016,1029
42306,822,675,1036,844
42486,700,668,1168,1183
42666,733,555,885,1046
42846,876,577,1134,1089
43026,734,555,1330,1167
43206,710,580,1032,952
