timepoints,mRNA0,mRNA1,mRNA2
6,0.124198981,0.115454341,0.10835828
186,0.229033529,0.212231436,0.195093302
366,0.299874911,0.311260392,0.297911897
546,0.403282428,0.361817897,0.359767454
726,0.488975752,0.418608237,0.497477403
906,0.63713272,0.528867117,0.625004606
1086,0.725140453,0.746954121,0.715791738
1266,0.850638847,0.784329905,0.71962091
1446,0.95045413,0.869960562,0.941050675
1626,1.078154016,1.036559467,1.051136996
1806,1.213963139,1.222540661,1.179458104
1986,1.285932589,1.250426472,1.345303472
2166,1.455760645,1.231578319,1.243760006
2346,1.475585942,1.451320006,1.524512383
2526,1.443740777,1.356151464,1.635527761
2706,1.612641814,1.686071916,1.554847771
2886,1.762914794,1.825893664,1.653935684
3066,1.772725799,1.819363477,1.809482613
3246,1.907669137,1.642038671,1.773762815
3426,1.954710395,1.887255279,1.755717802
3606,1.965416343,1.889089495,1.899909022
3786,1.933115323,1.998312811,1.966595114
3966,2.233822402,2.095785698,1.900738078
4146,2.197848207,1.971937236,2.072103466
4326,2.301660776,1.857707938,2.024923655
4506,2.096617753,1.990439794,2.1164641
4686,2.090563151,2.024894668,2.044655093
4866,2.140998134,1.919178932,1.953800441
5046,2.054491954,1.987392768,2.081608734
5226,1.986563286,2.074175315,1.849817485
5406,2.004525476,1.971478476,1.890914189
5586,2.062916896,2.06857487,2.089450844
5766,2.068587697,2.032793261,1.836896537
5946,2.227865289,1.810240798,2.077963761
6126,2.202240044,1.779652871,1.951008585
6306,2.271425214,2.007609639,2.096700197
6486,2.120353023,2.069348458,1.990938455
6666,1.996170234,2.034714995,1.987201898
6846,2.20914882,2.063241497,1.969701431
7026,2.240917711,2.176047664,2.038888414
7206,2.347924206,2.20011254,2.008560688
7386,2.131524293,2.143664676,2.030852507
7566,2.367670224,2.101579692,2.146635965
7746,2.268112031,2.077855008,2.150890333
7926,2.346269208,2.156321522,2.036791704
8106,2.338871424,2.087377964,2.148964577
8286,2.323264101,2.243250513,2.314566971
8466,2.265763112,2.150217137,2.106377635
8646,2.392457197,2.052536501,2.06719116
8826,2.164669102,2.120113593,2.082593164
9006,2.341544851,2.075402951,2.0215468
9186,2.19318268,2.115755926,2.198607485
9366,2.200991058,2.054887606,2.246463706
9546,2.270495735,2.124951653,1.98779814
9726,2.203585549,2.130676318,1.970947544
9906,2.333878053,1.986654444,1.8814638
10086,2.196092692,2.138241438,1.977906377
10266,2.260537604,2.138577406,2.006848182
10446,2.192435175,1.935066262,2.264576461
10626,2.050279286,1.895634553,2.09159547
10806,2.056637047,1.93511852,1.972683966
10986,2.059132743,1.954288492,1.943859687
11166,1.991076841,1.97016737,1.942517346
11346,2.191798572,1.92017088,1.923401339
11526,1.94125214,2.035932772,2.004549866
11706,2.050527124,1.852945703,1.907626427
11886,1.937699749,1.892699576,1.938597188
12066,1.997491866,1.807212233,1.878424291
12246,1.922514438,1.901785165,1.86610569
12426,1.959475538,1.860691423,1.86661847
12606,1.890643543,1.773286524,1.911748288
12786,1.899436817,1.769932499,1.761861067
12966,1.984559058,1.913750898,1.727938883
13146,1.921215947,1.857595459,1.84297678
13326,1.867879292,1.776931702,1.777392196
13506,1.823289751,1.671799466,1.781850705
13686,1.892053875,1.625408266,1.786924384
13866,1.834771212,1.729564629,1.78445502
14046,1.880772887,1.761282394,1.703674723
14226,1.931808833,1.67847232,1.763057577
14406,1.803435787,1.706763534,1.770561057
14586,1.766940823,1.651231849,1.68878918
14766,1.858500378,1.708716366,1.7052787
14946,1.745442078,1.60570628,1.650900719
15126,1.764308411,1.70848391,1.605307429
15306,1.651847781,1.569742632,1.539241168
15486,1.679420583,1.491997578,1.60551108
15666,1.711810702,1.622111122,1.588626776
15846,1.668684439,1.575816015,1.458182677
16026,1.572275209,1.490608169,1.484124052
16206,1.567041625,1.530666987,1.439532271
16386,1.521336801,1.466034316,1.376398205
16566,1.539403053,1.436135535,1.437983558
16746,1.475467931,1.351275685,1.332415545
16926,1.451435799,1.372786568,1.325801314
17106,1.402964169,1.320145644,1.290900148
17286,1.433337854,1.252416609,1.211469949
17466,1.381351234,1.231552094,1.235069645
