timepoints,mRNA0,mRNA1,mRNA2
6,1929,1807,1708
186,2936,2736,2532
366,3248,3364,3228
546,3750,3386,3368
726,3905,3367,3970
906,4476,3744,4394
1086,4584,4717,4527
1266,5048,4675,4311
1446,5199,4771,5149
1626,5702,5488,5563
1806,6405,6449,6228
1986,6798,6615,7104
2166,7545,6404,6466
2346,7680,7557,7928
2526,7515,7072,8485
2706,8256,8627,7964
2886,9030,9349,8478
3066,9112,9348,9298
3246,9792,8453,9117
3426,10098,9758,9095
3606,10158,9770,9825
3786,10047,10380,10218
3966,11629,10922,9923
4146,11381,10224,10737
4326,11935,9665,10520
4506,10717,10182,10817
4686,10621,10292,10391
4866,10861,9759,9931
5046,10565,10226,10702
5226,10247,10691,9554
5406,10427,10258,9846
5586,10741,10770,10877
5766,10746,10562,9555
5946,11567,9419,10796
6126,11528,9343,10229
6306,12010,10636,11100
6486,11275,11007,10595
6666,10555,10757,10508
6846,11864,11095,10602
7026,11925,11584,10863
7206,12593,11809,10793
7386,11546,11611,11007
7566,12999,11558,11802
7746,12605,11563,11963
7926,13117,12065,11403
8106,13329,11912,12259
8286,13494,13034,13444
8466,13521,12841,12583
8646,14352,12334,12421
8826,13059,12793,12569
9006,14351,12740,12414
9186,13527,13056,13560
9366,13586,12696,13863
9546,14257,13355,12505
9726,13944,13488,12489
9906,15001,12796,12128
10086,14290,13918,12887
10266,14992,14193,13330
10446,14734,13018,15215
10626,14294,13231,14578
10806,14647,13793,14057
10986,15041,14287,14212
11166,14638,14486,14285
11346,16426,14408,14432
11526,14773,15485,15249
11706,15874,14360,14779
11886,15284,14933,15291
12066,15900,14401,14962
12246,15478,15313,15029
12426,16075,15275,15323
12606,15712,14750,15885
12786,15934,14859,14792
12966,16838,16242,14678
13146,16627,16083,15958
13326,16429,15639,15643
13506,16266,14928,15900
13686,17299,14892,16350
13866,17020,16054,16558
14046,17806,16688,16149
14226,18620,16203,17010
14406,17753,16812,17433
14586,17683,16540,16911
14766,19075,17550,17515
14946,18370,16923,17391
15126,18963,18370,17274
15306,18126,17235,16904
15486,18895,16808,18072
15666,19797,18771,18388
15846,19892,18797,17410
16026,19354,18359,18280
16206,19988,19529,18379
16386,20047,19327,18160
16566,21091,19694,19719
16746,21053,19308,19043
16926,21650,20495,19805
17106,21665,20402,19956
17286,23026,20154,19504
17466,23024,20554,20612
17646,23267,21643,20843
17826,23622,21230,20140
18006,23374,21671,20352
18186,24108,21940,21505
18366,23376,22151,22669
18546,26087,23398,23192
18726,25693,24310,23535
18906,26425,25114,24067
19086,27199,24534,24059
19266,26846,25487,24872
19446,27483,27655,26052
19626,28500,26566,26347
19806,29311,27368,27650
19986,31835,28235,28299
20166,31176,29752,26581
20346,30964,29060,28344
20526,30865,30351,29673
20706,33610,29078,28913
20886,34336,31710,30175
21066,32878,31155,31119
21246,33806,31767,30841
21426,33042,33282,32189
21606,34818,34644,30568
21786,35088,34488,31359
21966,35431,34331,32482
22146,35809,33107,32630
22326,36206,35187,33232
22506,38853,33775,33171
22686,36821,35106,31917
22866,38512,34941,34208
23046,39516,36042,33433
23226,38248,35995,34372
23406,37720,35221,34621
23586,38232,36235,35231
23766,38752,37046,35871
23946,40176,36578,35008
24126,39315,36540,34495
24306,40785,37811,35316
24486,39802,35814,35311
24666,41000,37015,35864
24846,41488,36526,36439
25026,40218,38570,37458
25206,40636,38395,35576
25386,40760,37301,34989
25566,41322,38236,37284
25746,42642,37689,37399
25926,41585,39607,36971
26106,41320,37756,36274
26286,41196,38990,37914
26466,40116,38080,38394
26646,41403,39869,36360
26826,42136,38356,35653
27006,41771,40308,38055
27186,43959,38789,38204
27366,42804,38831,37798
27546,42747,40253,36226
27726,44039,40489,38583
27906,40865,39901,40140
28086,42837,40360,38785
28266,44016,39599,38470
28446,44362,41138,37086
28626,44917,41697,40427
28806,42827,41922,38834
28986,43733,40870,37519
29166,45333,40315,38674
29346,44862,39994,38935
29526,43828,41053,39738
29706,44824,42045,39308
29886,43543,40384,39387
30066,43844,41234,39991
30246,46032,41036,39067
30426,45171,39737,39047
30606,46694,39293,40713
30786,43736,41172,40497
30966,44596,42727,39736
31146,44571,41346,40118
31326,44618,43653,40138
31506,44959,43087,40533
31686,43984,41440,39429
31866,45218,41511,39767
32046,44588,41792,38989
32226,46958,41640,39915
32406,42868,43115,39191
32586,46120,42422,38924
32766,45861,41877,40775
32946,46117,42041,40873
33126,47270,42937,39834
33306,45691,40932,39590
33486,46233,41655,38780
33666,46833,42823,39068
33846,45184,42540,39452
34026,44941,42666,40308
34206,45110,43020,40528
34386,45164,44692,40518
34566,43670,42577,39290
34746,47183,40687,39496
34926,47081,43215,40279
35106,46444,43794,40225
35286,47670,44153,40601
35466,46663,44701,41668
35646,45582,42327,39964
35826,45532,44038,40815
36006,47454,40624,41875
36186,46099,43290,39237
36366,47120,42127,41602
36546,47241,42482,42187
36726,46707,44234,39602
36906,47939,43216,41055
37086,47113,43239,43333
37266,44927,42795,41320
37446,46684,43808,41002
37626,47221,43617,41002
37806,47961,45808,41372
37986,47414,45149,42092
38166,48098,43986,40248
38346,48298,44369,40665
38526,47853,43179,42004
38706,48753,44464,40404
38886,46342,43738,40578
39066,48148,44393,41731
39246,48837,44054,41018
39426,46986,43461,40958
39606,48094,42655,41480
39786,47415,43407,41625
39966,48878,42160,41461
40146,47395,44751,41749
40326,50137,45811,42563
40506,47281,43988,42371
40686,47610,41970,42070
40866,48941,45852,43222
41046,49181,44881,40740
41226,45880,43187,40936
41406,48993,43208,41316
41586,49547,45130,41243
41766,49507,42933,41048
41946,48788,43172,41643
42126,49754,45793,42516
42306,50814,45065,41062
42486,48537,46163,42854
42666,47504,43957,41695
42846,48942,45491,42813
43026,49469,43484,41263
43206,48446,46404,43174
