timepoints,mRNA0,mRNA1,mRNA2
6,0.231314823,0.204507029,0.305751999
186,0.614835138,0.576763884,0.547742355
366,0.928832005,0.917579118,0.910077194
546,1.468088167,1.421213911,1.132306239
726,1.495296732,1.767560965,1.836031376
906,2.417385947,2.299924003,2.490161281
1086,3.181218464,3.138864139,3.112114039
1266,3.743681165,4.094756766,3.671946968
1446,4.364899576,4.409508121,4.568426059
1626,5.51907012,5.356889956,5.261955225
1806,6.606766343,5.700363221,5.780575886
1986,5.905270229,6.215671984,5.940744715
2166,6.460662229,7.731165863,6.726862991
2346,6.916195349,7.267721188,7.443987727
2526,7.621882395,7.817771896,7.433907622
2706,8.162824721,7.795773614,7.428722507
2886,7.29093956,8.200976204,7.735311471
3066,7.811359906,8.712509707,8.161032068
3246,8.432586467,8.720249795,8.891391268
3426,9.125338193,8.873610904,8.337906566
3606,8.352801156,9.380524995,8.693605357
3786,8.907474186,9.52720177,9.225328735
3966,9.642646427,10.4447513,9.423151513
4146,10.69401568,11.28993462,10.17724932
4326,10.83927434,10.49785808,10.75069067
4506,11.09621312,11.88591104,10.77650511
4686,13.35007644,13.03985891,12.90819103
4866,13.26039857,13.75489109,12.53943679
5046,13.7404818,13.53106354,13.23870734
5226,13.53959055,13.01982056,13.35589674
5406,14.95748378,13.90029302,13.38415961
5586,15.60623292,15.0673751,14.52957594
5766,13.12242994,15.35143698,14.94906314
5946,15.62899297,14.27812271,15.47715097
6126,15.35408363,16.14740661,15.18166674
6306,16.05426061,14.9057191,15.35338696
6486,14.52889206,16.62037985,14.98907979
6666,16.80507635,16.52205416,15.01158809
6846,16.9280581,17.79347912,16.29369108
7026,16.39077196,18.19861428,16.29126732
7206,17.75831159,17.83855218,16.61782539
7386,17.61804422,18.76638379,18.25483141
7566,18.20728503,18.99460408,17.1369567
7746,18.75036291,18.75905067,18.65914141
7926,19.09089095,19.00105147,19.18181284
8106,20.11678021,20.82301934,17.68466921
8286,19.06322738,19.22761649,18.84833965
8466,18.56379855,18.85447112,16.84710864
8646,19.22850632,19.24249268,17.96074212
8826,18.32136272,18.55179853,18.45276016
9006,16.96223811,19.35698784,18.58654582
9186,19.0173723,17.60058353,18.63443073
9366,17.76334519,18.3989653,18.57138424
9546,17.43175122,18.93246122,17.13836597
9726,18.50408342,18.30651837,17.93872987
9906,17.41557434,18.10863252,18.07488812
10086,17.84652098,17.8924379,18.87835216
10266,17.42694925,18.37557557,17.6952994
10446,17.60792308,18.17019576,17.65911634
10626,17.81442924,18.89030695,17.2398321
10806,18.83875782,18.65413534,18.62592913
10986,19.82995203,19.7341273,19.7234801
11166,19.46254,19.94875307,20.42708161
11346,19.18854213,20.44999727,19.33790251
11526,20.72024516,19.88073728,19.24980278
11706,19.31081122,20.1589575,19.51037505
11886,18.93356171,19.2771006,19.77125505
12066,20.48119649,19.67204353,20.10480594
12246,20.7454052,20.82889909,20.09571836
12426,20.11244232,21.5705885,21.12877792
12606,19.91934543,20.89304816,20.67846036
12786,19.80767851,20.44207343,20.78615203
12966,20.53873499,21.17010795,20.08740198
13146,18.39725898,20.45228139,18.74173339
13326,18.9208426,19.63242233,19.30081994
13506,19.30905227,19.15067158,20.41305888
13686,20.17277527,19.48093397,19.4915311
13866,18.83379985,18.80447981,18.70674636
14046,18.0164393,20.96773296,19.72927046
14226,19.14641904,20.2478822,19.36715021
14406,18.0522297,19.31578918,18.95518104
14586,17.70870108,19.10197307,18.56820876
14766,17.68406701,18.90281958,16.61511259
14946,18.51675866,17.90856646,18.21623253
15126,18.4424708,18.50512818,16.98109827
15306,16.85144843,17.15189906,16.92993349
15486,17.2033091,17.96892869,16.03431803
15666,17.30427957,16.64247761,17.1058578
15846,17.39914444,17.18276727,16.60367364
16026,15.92073737,16.26524916,16.12326188
16206,15.69912219,16.4708915,15.83939613
16386,16.13902651,16.00707923,15.91774527
16566,15.64391182,15.82698421,15.65043221
16746,15.25092016,15.25878006,16.08947392
16926,15.48152679,15.68873108,15.2605721
17106,15.58893832,15.64668806,15.85766092
17286,14.89475843,15.6447113,15.40864865
17466,14.05132666,15.08120183,15.57609954
17646,14.89959953,15.06842405,15.01033838
17826,15.07961851,14.86803829,15.01951985
18006,14.97322098,14.93946764,15.6736027
18186,15.4090323,16.06836647,15.65698361
18366,16.10005884,15.85854916,15.26220003
18546,15.49449607,14.85736629,15.7600295
18726,15.06725533,14.85654132,15.39351024
18906,15.09116188,15.24647089,15.05515346
19086,15.68541901,14.59278707,14.98091709
19266,14.85812791,15.21934978,14.88596708
19446,15.35668742,14.94436075,15.06515022
19626,14.74110538,14.88986233,15.775995
19806,15.7535484,15.64844563,15.65488741
19986,15.35520676,15.36088543,15.03720125
20166,15.29556697,14.7957639,14.83277443
20346,15.23271569,14.39893512,15.15660553
20526,14.73766359,14.21053946,14.54135529
20706,14.14422325,14.37457483,14.47008647
20886,13.73114524,14.12340137,13.91985853
21066,14.59566419,13.96975331,13.85049074
21246,13.81119463,14.15011432,14.35230743
21426,14.56157076,13.93294376,13.59788585
21606,14.09211276,14.44291599,13.65289801
21786,14.05397348,13.82811479,14.17640679
21966,13.93995915,14.21757845,13.66928033
22146,14.32332942,14.17732427,13.94517048
22326,14.19665347,14.23386051,13.9045922
22506,14.61332648,14.22523834,14.23747912
22686,14.54739175,14.81495377,14.12354219
22866,14.72097895,14.5048067,14.48880434
23046,14.00191536,14.3845391,14.69458667
23226,14.25001433,14.73127337,13.73674432
23406,14.0932355,14.19402866,14.02147077
23586,14.23081289,13.80305617,13.7653904
23766,13.59020613,13.75353749,13.39291222
23946,13.21366112,13.64829087,13.27357443
24126,13.58488983,13.48505499,13.31711577
24306,13.81924427,13.64381445,13.40748949
24486,13.84678671,13.19519465,13.59020932
24666,13.46716203,13.62820433,13.42421742
24846,13.45338802,13.81163899,13.03256495
25026,13.51894585,13.99592479,13.55905836
25206,13.65452806,13.49889129,13.54426422
25386,13.82750965,13.47811704,13.38956714
25566,13.98579463,13.81512917,13.12893284
25746,13.12047306,12.93974237,13.21321315
25926,13.26701984,13.04712042,13.04785587
26106,13.23890651,13.48976273,12.81795753
26286,13.7142614,13.28924466,12.86251316
26466,12.97850987,12.914133,12.54957184
