timepoints,mRNA0,mRNA1,mRNA2,mRNA3
0,0.05152043,0.033670968,0.039907527,0.028509677
180,0.055713978,0.073993548,0.045391398,0.044531183
360,0.08668172,0.064531183,0.077649462,0.051412903
540,0.14496129,0.124746237,0.105606452,0.082165591
720,0.142273118,0.143348387,0.120982796,0.117111828
900,0.192165591,0.156896774,0.14291828,0.125068817
1080,0.213670968,0.206144086,0.149154839,0.1498
1260,0.226896774,0.199584946,0.163455914,0.167326882
1440,0.261305376,0.218509677,0.187972043,0.139369892
1620,0.296789247,0.240660215,0.195498925,0.193993548
1800,0.287972043,0.309262366,0.207326882,0.1798
1980,0.30324086,0.304531183,0.242595699,0.222165591
2160,0.369369892,0.343778495,0.285068817,0.203348387
2340,0.442488172,0.403133333,0.265068817,0.257111828
2520,0.419262366,0.359477419,0.321412903,0.301627957
2700,0.40152043,0.382165591,0.341305376,0.277004301
2880,0.5198,0.415929032,0.34324086,0.300875269
3060,0.531950538,0.499477419,0.383133333,0.327004301
3240,0.544208602,0.476466667,0.398187097,0.360982796
3420,0.607111828,0.560230108,0.430122581,0.317649462
3600,0.608402151,0.546036559,0.42324086,0.388402151
3780,0.623348387,0.625283871,0.416036559,0.453670968
3960,0.67324086,0.614101075,0.511735484,0.475176344
4140,0.716144086,0.60668172,0.442810753,0.400660215
4320,0.758402151,0.705498925,0.531305376,0.4698
4500,0.714531183,0.616466667,0.556896774,0.492595699
4680,0.766574194,0.657541935,0.551950538,0.494746237
4860,0.79291828,0.742595699,0.545821505,0.527326882
5040,0.800122581,0.697326882,0.637972043,0.554746237
5220,0.803886022,0.75463871,0.617219355,0.575498925
5400,0.879584946,0.792058065,0.639154839,0.547541935
5580,0.922380645,0.750767742,0.658939785,0.608187097
5760,0.930875269,0.802273118,0.623563441,0.544853763
5940,0.9198,0.851197849,0.685606452,0.571843011
6120,0.954746237,0.899047312,0.789154839,0.632810753
6300,0.923993548,0.875391398,0.704208602,0.663133333
6480,1.042058065,0.834531183,0.748939785,0.66807957
6660,1.041950538,0.932273118,0.736789247,0.693348387
6840,0.988617204,0.941950538,0.739584946,0.657434409
